City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Kongolo,CD,84.06,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
469,Lata,PT,77.81,clear sky,40.1629,-8.3327,Casa Maquia
470,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
472,Sadao,TH,76.82,overcast clouds,6.6388,100.4234,Banana Resort Sadao
478,Guarapari,BR,77.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
480,Alugan,PH,80.49,broken clouds,12.2188,125.4808,JM Lodge
483,Cenade,RO,76.71,clear sky,46.0587,24.0089,Căminul pentru persoane vârstnice Sf. Petru și Pavel
484,Shaoyang,CN,79.56,clear sky,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
485,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
488,Poum,NC,75.09,scattered clouds,-20.2333,164.0167,
489,Mandsaur,IN,76.05,overcast clouds,24.0667,75.0667,hotel imperial
493,Calceta,EC,80.15,overcast clouds,-0.85,-80.1667,"Hostal ""San Placido"""
494,Sibolga,ID,75.27,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
497,Dangriga,BZ,82.09,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
500,Kaohsiung,TW,85.95,overcast clouds,22.6163,120.3133,御宿商旅-中山館
502,Beyneu,KZ,84.97,clear sky,45.3167,55.2,NUR
508,New Castle,US,88.93,overcast clouds,41.0037,-80.347,Hampton Inn & Suites New Castle
513,Bubaque,GW,80.1,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
515,Palauig,PH,81.75,overcast clouds,15.435,119.9045,Villa Raphael Resort
518,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
519,Chateauroux,FR,76.93,broken clouds,46.8167,1.7,Hôtel Kyriad Chateauroux
522,Wanning,CN,79.74,clear sky,18.8003,110.3967,Paradise Hotel
524,Bousso,TD,81.1,light rain,10.4795,16.7117,
530,Bay Roberts,CA,82.65,few clouds,47.5999,-53.2648,Stonewall Inn
533,Nishihara,JP,83.86,few clouds,26.1842,127.7558,Minshuku Agaihama
544,Kermanshah,IR,83.3,clear sky,34.3142,47.065,Sina Hotel
547,Yenagoa,NG,75.25,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
548,Progreso,MX,87.91,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
550,Barcelos,PT,86.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
560,Medea,DZ,79.16,clear sky,36.2642,2.7539,Hôtel M'Sallah
567,Cururupu,BR,87.28,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
571,Mana,GF,82.44,overcast clouds,5.6592,-53.7767,LE SAMANA
577,Catalao,BR,81.52,clear sky,-18.1658,-47.9464,Mara Turismo Hotel
583,Ismailia,EG,78.57,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
584,Luwuk,ID,76.21,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
586,Luba,GQ,75.09,overcast clouds,3.4568,8.5547,
593,Buzmeyin,TM,89.33,clear sky,38.0507,58.2056,
594,Dingle,PH,77.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
595,San Joaquin,US,89.55,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
601,Korla,CN,88.25,clear sky,41.7597,86.1469,Gulisitan Hotel
602,Takoradi,GH,76.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
604,Auraiya,IN,87.71,overcast clouds,26.4667,79.5167,Sadhu Hotal
609,Calamar,CO,85.17,overcast clouds,10.2511,-74.9146,Hostal Katyalex
611,Dawei,MM,75.51,overcast clouds,14.0833,98.2,Hotel Dawei
622,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
624,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
625,Villarrica,PY,84.63,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
626,Muroto,JP,77.56,overcast clouds,33.2833,134.15,Oota Ryokan
629,Katsuura,JP,77.68,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
633,Lucknow,IN,87.21,overcast clouds,26.85,80.9167,C N Comforts Hotel & Dormitory
634,Camopi,GF,79.9,overcast clouds,3.1655,-52.3158,La pousada
638,Umm Lajj,SA,87.96,overcast clouds,25.0213,37.2685,Moon light Furnished Units
640,Kijang,KR,76.73,moderate rain,35.2442,129.2139,Samyang Beach Villa
643,Mattru,SL,75.92,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
647,Acarau,BR,83.79,scattered clouds,-2.8856,-40.12,castelo pizzaria
651,Sompeta,IN,81.39,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
653,Itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
654,Sturgeon Bay,US,89.56,overcast clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
659,Sandpoint,US,82.85,overcast clouds,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
666,Taitung,TW,82.89,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
674,Guatire,VE,86.68,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
678,Quang Ngai,VN,75.04,clear sky,15.1167,108.8,Central Hotel
681,Puerto El Triunfo,SV,89.02,broken clouds,13.2833,-88.55,Hotel Jardin
684,Marsh Harbour,BS,83.73,clear sky,26.5412,-77.0636,Abaco Beach Resort
686,Vega De Alatorre,MX,89.37,few clouds,20.0333,-96.6333,Hotel D Luxe
689,Xiashi,CN,86.02,clear sky,30.5363,120.6864,皮都锦江大酒店
