City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Hambantota,LK,2022-07-23 18:41:08,6.1241,81.1185,79.14,89,20,5.75,few clouds
61,Pangody,RU,2022-07-23 18:41:08,65.85,74.4859,51.98,88,100,17.67,overcast clouds
62,Kavaratti,IN,2022-07-23 18:41:09,10.5669,72.642,81.27,78,100,17.83,overcast clouds
63,Gat,IL,2022-07-23 18:37:01,31.61,34.7642,81.81,100,0,3.58,clear sky
64,Werda,BW,2022-07-23 18:41:09,-25.2667,23.2833,65.46,31,41,3.65,scattered clouds
65,Taoudenni,ML,2022-07-23 18:41:10,22.6783,-3.9836,106.59,6,0,5.35,clear sky
66,Bluff,NZ,2022-07-23 18:41:10,-46.6,168.3333,31.8,80,90,5.59,overcast clouds
67,Hasaki,JP,2022-07-23 18:39:14,35.7333,140.8333,76.44,86,97,10.49,overcast clouds
68,Mecca,SA,2022-07-23 18:41:10,21.4267,39.8261,91.92,45,55,4.85,broken clouds
69,Castro,BR,2022-07-23 18:41:11,-24.7911,-50.0119,71.65,50,100,4.16,overcast clouds
70,Belyy Yar,RU,2022-07-23 18:41:11,53.6039,91.3903,55.85,100,0,4.47,clear sky
71,Souillac,MU,2022-07-23 18:41:12,-20.5167,57.5167,70.18,83,40,13.8,scattered clouds
72,Nevsehir,TR,2022-07-23 18:41:12,38.9167,34.6667,70.81,27,0,17.27,clear sky
73,Nikolskoye,RU,2022-07-23 18:41:12,59.7035,30.7861,69.69,97,15,2.39,moderate rain
74,Quibdo,CO,2022-07-23 18:41:13,5.6947,-76.6611,81.46,85,100,4.05,overcast clouds
75,Changde,CN,2022-07-23 18:41:13,29.0464,111.6783,76.89,93,49,1.36,scattered clouds
76,Juegang,CN,2022-07-23 18:41:14,32.3174,121.1855,73.15,92,53,7.11,broken clouds
77,Mehamn,NO,2022-07-23 18:41:14,71.0357,27.8492,51.71,100,100,12.66,drizzle
78,Lodwar,KE,2022-07-23 18:41:14,3.1191,35.5973,86.11,35,10,1.97,clear sky
79,Tanete,ID,2022-07-23 18:41:15,-3.9443,119.7848,71.62,94,80,4.23,broken clouds
80,Torres,BR,2022-07-23 18:41:15,-29.3353,-49.7269,74.82,87,33,7.25,scattered clouds
81,Alofi,NU,2022-07-23 18:41:15,-19.0595,-169.9187,69.69,88,100,11.5,overcast clouds
82,De-Kastri,RU,2022-07-23 18:41:16,51.4667,140.7833,56.59,87,6,2.13,clear sky
83,Lompoc,US,2022-07-23 18:41:16,34.6391,-120.4579,73.54,80,100,10.36,overcast clouds
84,Port Lincoln,AU,2022-07-23 18:41:16,-34.7333,135.8667,53.46,75,35,11.16,light rain
85,Constitucion,CL,2022-07-23 18:41:17,-35.3333,-72.4167,57.42,79,100,2.57,overcast clouds
86,Qaanaaq,GL,2022-07-23 18:41:17,77.484,-69.3632,37.8,97,100,3.22,overcast clouds
87,Yellowknife,CA,2022-07-23 18:40:39,62.456,-114.3525,65.91,45,38,16.98,scattered clouds
88,Garhi Yasin,PK,2022-07-23 18:41:18,27.9069,68.511,84.22,86,100,7.7,overcast clouds
89,Cherskiy,RU,2022-07-23 18:41:18,68.75,161.3,53.62,53,17,0.85,few clouds
90,Vaini,TO,2022-07-23 18:41:18,-21.2,-175.2,69.96,83,40,9.22,scattered clouds
91,Torbay,CA,2022-07-23 18:41:19,47.6666,-52.7314,81.37,74,75,12.66,broken clouds
92,Katobu,ID,2022-07-23 18:41:19,-4.9408,122.5276,71.13,86,41,5.32,scattered clouds
93,Jalu,LY,2022-07-23 18:41:19,29.0331,21.5482,89.62,20,0,8.84,clear sky
94,Te Anau,NZ,2022-07-23 18:41:20,-45.4167,167.7167,36.77,95,94,1.16,overcast clouds
95,Salalah,OM,2022-07-23 18:42:20,17.0151,54.0924,77.79,88,55,6.67,broken clouds
96,Stalowa Wola,PL,2022-07-23 18:41:12,50.5829,22.0533,68.13,85,100,10.0,moderate rain
97,Vanavara,RU,2022-07-23 18:42:21,60.34,102.2797,60.13,98,95,6.02,light rain
98,Lagoa,PT,2022-07-23 18:41:14,39.05,-27.9833,73.49,85,11,9.6,few clouds
99,Butaritari,KI,2022-07-23 18:42:21,3.0707,172.7902,81.93,73,36,15.21,scattered clouds
100,Ippy,CF,2022-07-23 18:42:21,6.2679,21.2247,67.95,97,96,1.28,overcast clouds
101,Alappuzha,IN,2022-07-23 18:42:22,9.49,76.3264,78.01,87,78,7.92,light rain
102,Saskylakh,RU,2022-07-23 18:42:22,71.9167,114.0833,49.77,90,79,1.01,broken clouds
103,Tautira,PF,2022-07-23 18:42:22,-17.7333,-149.15,78.37,77,5,15.95,light rain
104,Talara,PE,2022-07-23 18:42:23,-4.5772,-81.2719,75.96,64,0,11.5,clear sky
105,Bambous Virieux,MU,2022-07-23 18:42:23,-20.3428,57.7575,70.05,83,40,13.8,light rain
106,Shenjiamen,CN,2022-07-23 18:42:23,29.9576,122.298,77.45,95,33,12.21,scattered clouds
107,Tuktoyaktuk,CA,2022-07-23 18:42:24,69.4541,-133.0374,50.0,100,100,9.22,light rain
108,Sur,OM,2022-07-23 18:42:24,22.5667,59.5289,88.63,63,54,15.19,broken clouds
109,Port Alfred,ZA,2022-07-23 18:42:24,-33.5906,26.891,54.18,85,100,7.0,overcast clouds
110,Maniitsoq,GL,2022-07-23 18:42:25,65.4167,-52.9,45.23,88,78,3.87,broken clouds
111,Cape Town,ZA,2022-07-23 18:39:47,-33.9258,18.4232,57.38,73,75,13.8,broken clouds
112,Moree,AU,2022-07-23 18:42:25,-29.4667,149.85,51.03,75,99,6.26,overcast clouds
113,Natal,BR,2022-07-23 18:42:26,-5.795,-35.2094,86.22,58,75,17.27,broken clouds
114,Altay,CN,2022-07-23 18:42:26,47.8667,88.1167,60.28,43,66,3.38,broken clouds
115,Ust-Nera,RU,2022-07-23 18:42:26,64.5667,143.2,61.81,89,100,5.01,overcast clouds
116,Saint-Philippe,RE,2022-07-23 18:42:27,-21.3585,55.7679,69.39,85,53,13.78,light rain
117,Nome,US,2022-07-23 18:37:30,64.5011,-165.4064,48.27,87,100,12.66,moderate rain
118,Cozumel,MX,2022-07-23 18:42:27,20.5083,-86.9458,91.47,75,75,12.66,broken clouds
119,Karratha,AU,2022-07-23 18:38:10,-20.7377,116.8463,62.65,42,0,11.72,clear sky
120,Palmer,US,2022-07-23 18:42:28,42.1584,-72.3287,95.63,38,40,10.36,scattered clouds
121,Praia Da Vitoria,PT,2022-07-23 18:42:28,38.7333,-27.0667,75.76,88,40,4.59,scattered clouds
122,Baykit,RU,2022-07-23 18:42:29,61.67,96.37,59.86,97,100,1.07,overcast clouds
123,Hamilton,US,2022-07-23 18:41:16,39.1834,-84.5333,85.05,57,0,10.36,clear sky
124,Yar-Sale,RU,2022-07-23 18:42:29,66.8333,70.8333,49.84,78,48,15.79,scattered clouds
125,Wuwei,CN,2022-07-23 18:42:29,37.9281,102.6414,71.2,29,21,5.39,few clouds
126,Buala,SB,2022-07-23 18:42:30,-8.145,159.5921,78.58,84,6,4.14,clear sky
127,Tiksi,RU,2022-07-23 18:42:30,71.6872,128.8694,46.69,85,38,2.77,scattered clouds
128,Aloleng,PH,2022-07-23 18:42:30,16.1307,119.7824,83.5,76,100,5.97,overcast clouds
129,Nadvoitsy,RU,2022-07-23 18:42:31,63.8667,34.3167,59.5,97,100,2.98,overcast clouds
130,Beloha,MG,2022-07-23 18:42:31,-25.1667,45.05,66.92,75,14,5.37,few clouds
131,Codrington,AU,2022-07-23 18:42:32,-38.2667,141.9667,46.45,95,7,6.31,clear sky
132,Ahuimanu,US,2022-07-23 18:42:32,21.4447,-157.8378,82.11,69,20,13.8,few clouds
133,Kalach-Na-Donu,RU,2022-07-23 18:42:32,48.691,43.5264,62.94,81,100,1.95,overcast clouds
134,Orange,US,2022-07-23 18:39:27,33.7,-117.7675,79.21,55,9,7.0,clear sky
135,Dire,ML,2022-07-23 18:42:33,12.2833,-10.9667,77.95,88,100,0.78,light rain
136,Saint George,US,2022-07-23 18:39:29,37.1041,-113.5841,103.78,21,20,12.66,few clouds
137,Sazonovo,RU,2022-07-23 18:42:33,59.0919,35.2268,65.5,73,0,5.44,clear sky
138,Saldanha,ZA,2022-07-23 18:42:34,-33.0117,17.9442,50.05,66,0,20.38,clear sky
139,Tete,MZ,2022-07-23 18:42:34,-16.1564,33.5867,66.29,100,20,0.0,few clouds
140,Dudinka,RU,2022-07-23 18:42:34,69.4058,86.1778,69.62,60,96,8.57,overcast clouds
141,Innisfail,AU,2022-07-23 18:43:35,-17.5333,146.0333,62.53,76,93,5.01,overcast clouds
142,Tromso,NO,2022-07-23 18:43:35,69.6496,18.957,50.02,87,100,13.8,overcast clouds
143,Walvis Bay,NA,2022-07-23 18:43:36,-22.9575,14.5053,60.3,67,0,13.98,clear sky
144,Dukat,RU,2022-07-23 18:43:36,62.55,155.55,48.58,63,19,5.19,few clouds
145,Pangoa,PE,2022-07-23 18:43:36,-12.1167,-73.0,87.55,43,62,5.17,broken clouds
146,Turbat,PK,2022-07-23 18:43:37,26.0023,63.044,84.29,74,100,11.5,overcast clouds
147,Thompson,CA,2022-07-23 18:43:37,55.7435,-97.8558,63.46,43,100,8.1,overcast clouds
148,Huicungo,PE,2022-07-23 18:43:37,-7.2833,-76.8,88.05,58,20,3.44,few clouds
149,Kuybyshevo,RU,2022-07-23 18:43:38,47.8123,38.9073,65.5,67,38,6.42,light rain
150,Vila Velha,BR,2022-07-23 18:43:28,-20.3297,-40.2925,80.55,65,20,13.8,few clouds
151,Lavrentiya,RU,2022-07-23 18:43:38,65.5833,-171.0,44.65,80,100,12.82,overcast clouds
152,Langarud,IR,2022-07-23 18:43:39,37.197,50.1535,75.96,74,7,0.78,clear sky
153,Tet,HU,2022-07-23 18:43:39,47.5192,17.508,74.64,63,100,5.48,overcast clouds
154,Cockburn Town,TC,2022-07-23 18:43:39,21.4612,-71.1419,85.96,62,40,12.66,scattered clouds
155,Saint-Augustin,CA,2022-07-23 18:43:40,51.226,-58.6502,66.2,84,82,11.68,broken clouds
156,Redwater,US,2022-07-23 18:43:40,33.3582,-94.2544,97.09,30,1,5.23,clear sky
157,Canning,IN,2022-07-23 18:40:10,22.3189,88.6714,82.42,84,100,9.82,moderate rain
158,Neyvo-Shaytanskiy,RU,2022-07-23 18:43:41,57.7286,61.2496,58.41,67,99,5.28,overcast clouds
159,Sao Felix Do Xingu,BR,2022-07-23 18:43:41,-6.6447,-51.995,94.55,24,100,3.04,overcast clouds
160,Severo-Kurilsk,RU,2022-07-23 18:43:41,50.6789,156.125,53.49,91,54,3.0,broken clouds
161,Surt,LY,2022-07-23 18:43:42,31.2089,16.5887,81.28,67,0,11.5,clear sky
162,Yelahanka,IN,2022-07-23 18:43:42,13.1075,77.6003,69.89,100,40,9.22,scattered clouds
163,Mangaluru,IN,2022-07-23 18:43:42,12.8667,74.8833,76.06,94,100,8.05,overcast clouds
164,Bengkulu,ID,2022-07-23 18:43:43,-3.8004,102.2655,75.18,93,97,4.97,overcast clouds
165,Port Hardy,CA,2022-07-23 18:42:16,50.6996,-127.4199,59.18,82,75,9.22,broken clouds
166,Quepos,CR,2022-07-23 18:43:43,9.4236,-84.1652,80.82,83,94,5.3,overcast clouds
167,Phan Thiet,VN,2022-07-23 18:43:44,10.9333,108.1,76.19,91,90,3.78,overcast clouds
168,Upernavik,GL,2022-07-23 18:43:44,72.7868,-56.1549,43.11,96,100,5.3,overcast clouds
169,Caravelas,BR,2022-07-23 18:43:44,-17.7125,-39.2481,75.65,64,0,7.18,clear sky
170,Camocim,BR,2022-07-23 18:43:45,-2.9022,-40.8411,84.61,64,84,13.33,broken clouds
171,Tucuman,AR,2022-07-23 18:40:14,-26.8241,-65.2226,77.0,53,100,4.61,overcast clouds
172,Juneau,US,2022-07-23 18:43:45,58.3019,-134.4197,55.85,98,100,11.5,light rain
173,Klaksvik,FO,2022-07-23 18:43:45,62.2266,-6.589,50.86,89,99,15.93,overcast clouds
174,Kampene,CD,2022-07-23 18:43:46,-3.6,26.6667,77.63,55,73,1.54,broken clouds
175,Grants,US,2022-07-23 18:43:46,35.1473,-107.8514,88.03,23,12,0.0,few clouds
176,Gao,ML,2022-07-23 18:43:46,16.6362,1.637,98.78,27,56,10.16,broken clouds
177,Carnarvon,AU,2022-07-23 18:43:47,-24.8667,113.6333,66.13,62,58,19.82,broken clouds
178,Ifo,NG,2022-07-23 18:43:47,6.8144,3.1958,75.88,81,98,6.02,light rain
179,Coahuayana,MX,2022-07-23 18:43:47,18.7333,-103.6833,87.57,61,100,4.5,overcast clouds
180,Punta Arenas,CL,2022-07-23 18:40:00,-53.15,-70.9167,39.31,56,0,9.22,clear sky
181,Cairns,AU,2022-07-23 18:43:48,-16.9167,145.7667,61.07,86,40,10.36,scattered clouds
182,Ancud,CL,2022-07-23 18:43:48,-41.8697,-73.8203,46.22,88,100,1.1,overcast clouds
183,Khatanga,RU,2022-07-23 18:43:49,71.9667,102.5,46.78,89,1,14.56,clear sky
184,Cornwall,CA,2022-07-23 18:41:42,45.0181,-74.7281,86.25,58,0,16.11,clear sky
185,Mingshui,CN,2022-07-23 18:43:49,36.7167,117.5,71.69,85,0,4.27,clear sky
186,Norman Wells,CA,2022-07-23 18:43:49,65.282,-126.8329,62.64,67,75,9.22,broken clouds
187,Zeerust,ZA,2022-07-23 18:43:50,-25.5369,26.0751,59.36,49,86,3.89,overcast clouds
188,Kodiak,US,2022-07-23 18:44:50,57.79,-152.4072,49.51,87,100,6.91,light rain
189,Zyryanka,RU,2022-07-23 18:44:51,65.75,150.85,57.07,54,0,5.79,clear sky
190,Tumen,CN,2022-07-23 18:44:51,42.9661,129.8425,64.87,99,100,3.91,overcast clouds
191,Sawtell,AU,2022-07-23 18:44:51,-30.3833,153.1,56.1,85,54,10.54,broken clouds
192,Mar Del Plata,AR,2022-07-23 18:40:34,-38.0023,-57.5575,57.06,81,100,8.3,overcast clouds
193,Port-Gentil,GA,2022-07-23 18:44:52,-0.7193,8.7815,75.16,73,40,8.05,scattered clouds
194,Cabo San Lucas,MX,2022-07-23 18:43:05,22.8909,-109.9124,81.7,81,100,0.0,overcast clouds
195,Tiarei,PF,2022-07-23 18:44:52,-17.5333,-149.3333,78.82,79,28,14.67,light rain
196,Peleduy,RU,2022-07-23 18:44:52,59.6289,112.7406,69.35,82,5,3.4,clear sky
197,Newport,GB,2022-07-23 18:42:08,51.5877,-2.9984,69.26,81,100,1.99,overcast clouds
198,Mantua,IT,2022-07-23 18:41:49,45.1667,10.7833,92.44,48,99,10.13,overcast clouds
199,Punto Fijo,VE,2022-07-23 18:44:53,11.6956,-70.1996,86.4,55,6,23.02,clear sky
200,Luderitz,NA,2022-07-23 18:44:54,-26.6481,15.1594,61.29,62,0,25.03,clear sky
201,Lashio,MM,2022-07-23 18:44:54,22.9333,97.75,67.91,99,99,1.03,overcast clouds
202,Vikarabad,IN,2022-07-23 18:44:54,17.3333,77.9,70.74,94,100,9.22,overcast clouds
203,Elizabeth City,US,2022-07-23 18:44:55,36.2946,-76.2511,97.05,61,0,13.8,clear sky
204,Golspie,GB,2022-07-23 18:44:55,57.9727,-3.978,62.74,92,100,9.15,heavy intensity rain
205,Kautokeino,NO,2022-07-23 18:44:55,69.0125,23.0412,51.48,69,21,13.53,few clouds
206,Sao Filipe,CV,2022-07-23 18:44:56,14.8961,-24.4956,78.19,82,100,5.84,overcast clouds
207,Richards Bay,ZA,2022-07-23 18:44:56,-28.783,32.0377,67.26,73,19,5.97,few clouds
208,Bud,US,2022-07-23 18:44:57,39.447,-86.1758,88.68,49,2,10.78,clear sky
209,Kyra,RU,2022-07-23 18:44:57,49.5776,111.9753,55.72,88,72,4.63,broken clouds
210,Vallenar,CL,2022-07-23 18:44:57,-28.5708,-70.7581,67.77,50,0,4.5,clear sky
211,Port Elizabeth,ZA,2022-07-23 18:44:58,-33.918,25.5701,54.32,87,40,16.11,scattered clouds
212,Rocha,UY,2022-07-23 18:44:58,-34.4833,-54.3333,66.31,84,95,9.84,overcast clouds
213,Hutchinson,US,2022-07-23 18:40:44,38.0608,-97.9298,102.52,34,0,20.71,clear sky
214,Waddan,LY,2022-07-23 18:44:59,29.1614,16.139,86.43,24,0,9.51,clear sky
215,Kangaatsiaq,GL,2022-07-23 18:44:59,68.3065,-53.4641,39.52,99,100,9.46,overcast clouds
216,Arraial Do Cabo,BR,2022-07-23 18:43:50,-22.9661,-42.0278,82.36,65,0,14.97,clear sky
217,Vincennes,FR,2022-07-23 18:44:59,48.85,2.4333,80.92,51,0,8.05,clear sky
218,Esperance,AU,2022-07-23 18:45:00,-33.8667,121.9,54.64,88,100,24.63,light rain
219,Clyde River,CA,2022-07-23 18:45:00,70.4692,-68.5914,59.23,58,40,5.75,scattered clouds
220,Laguna,US,2022-07-23 18:45:00,38.421,-121.4238,88.0,18,0,5.97,clear sky
221,Hobart,AU,2022-07-23 18:45:01,-42.8794,147.3294,49.12,92,100,4.36,overcast clouds
222,Marawi,PH,2022-07-23 18:45:01,7.9986,124.2928,69.1,92,100,3.04,light rain
223,Pochutla,MX,2022-07-23 18:40:40,15.7432,-96.4661,85.82,84,100,1.83,overcast clouds
224,Celestun,MX,2022-07-23 18:45:02,20.8667,-90.4,88.74,60,100,11.41,overcast clouds
225,Pinotepa Nacional,MX,2022-07-23 18:45:02,16.3167,-98.0167,90.27,55,97,4.74,overcast clouds
226,Conde,BR,2022-07-23 18:45:02,-7.2597,-34.9075,81.86,65,20,16.11,few clouds
227,Westport,US,2022-07-23 18:45:03,41.1415,-73.3579,92.12,30,29,3.96,scattered clouds
228,Bourail,NC,2022-07-23 18:45:04,-21.5667,165.4833,70.7,93,44,3.91,scattered clouds
229,Dharchula,IN,2022-07-23 18:45:04,29.85,80.5333,73.44,90,100,1.41,overcast clouds
230,General Roca,AR,2022-07-23 18:45:04,-39.0333,-67.5833,56.62,43,100,10.47,light rain
