City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dolores,AR,2022-07-22 21:06:04,-36.3132,-57.6792,50.32,66,14,6.64
68,Tombouctou,ML,2022-07-22 21:06:05,20.0,-3.0,100.89,19,10,4.12
69,Santa Isabel,BR,2022-07-22 21:06:05,-23.3156,-46.2214,72.7,44,1,2.98
70,Soyo,AO,2022-07-22 21:06:05,-6.1349,12.3689,68.77,88,84,5.14
71,Mataura,NZ,2022-07-22 21:03:59,-46.1927,168.8643,33.48,96,15,2.91
72,Dubbo,AU,2022-07-22 21:06:06,-32.25,148.6167,44.73,93,32,11.5
73,Chokurdakh,RU,2022-07-22 21:06:06,70.6333,147.9167,46.96,58,99,13.15
74,Cabo San Lucas,MX,2022-07-22 21:03:45,22.8909,-109.9124,100.62,36,0,9.22
75,Hobart,AU,2022-07-22 21:06:07,-42.8794,147.3294,51.26,87,75,4.61
76,Natitingou,BJ,2022-07-22 21:06:07,10.3042,1.3796,73.27,88,100,2.53
77,Northam,GB,2022-07-22 21:06:07,51.0333,-4.2167,61.39,86,42,8.57
78,Mahina,PF,2022-07-22 21:06:08,-17.5065,-149.489,82.17,69,20,12.66
79,Benghazi,LY,2022-07-22 21:06:08,32.1167,20.0667,79.21,77,0,12.41
80,Gao,ML,2022-07-22 21:06:08,16.6362,1.637,97.05,24,51,4.47
81,Marquette,US,2022-07-22 21:06:09,46.5333,-87.6335,81.84,36,20,13.71
82,Farsund,NO,2022-07-22 21:06:09,58.0948,6.8047,61.95,100,100,2.66
83,Thompson,CA,2022-07-22 21:06:10,55.7435,-97.8558,59.16,77,100,4.61
84,Katsuura,JP,2022-07-22 21:06:10,35.1333,140.3,78.3,84,0,18.68
85,Tuatapere,NZ,2022-07-22 21:06:10,-46.1333,167.6833,36.34,92,14,3.94
86,Arvika,SE,2022-07-22 21:06:11,59.6553,12.5852,56.01,97,100,6.04
87,Xique-Xique,BR,2022-07-22 21:06:11,-10.8218,-42.7263,81.63,44,45,14.07
88,Lesnoy,RU,2022-07-22 21:06:12,57.6198,63.0784,57.25,95,85,5.06
89,Tskaltubo,GE,2022-07-22 21:06:12,42.3254,42.5979,59.94,100,40,3.44
90,Hithadhoo,MV,2022-07-22 21:07:12,-0.6,73.0833,81.72,73,100,7.78
91,Yarmouth,US,2022-07-22 21:07:13,41.7057,-70.2286,91.87,60,0,16.11
92,Mut,TR,2022-07-22 21:07:13,36.6439,33.4389,78.76,30,0,8.19
93,Kaseda,JP,2022-07-22 21:07:14,31.4167,130.3167,76.01,78,59,9.75
94,Victoria,HK,2022-07-22 21:05:31,22.2855,114.1577,87.19,81,68,5.01
95,Lorengau,PG,2022-07-22 21:07:14,-2.0226,147.2712,81.55,80,27,9.48
96,Grand Baie,MU,2022-07-22 21:07:14,-20.0182,57.5802,69.46,73,1,5.01
97,Sola,VU,2022-07-22 21:07:15,-13.8833,167.55,80.8,77,63,15.05
98,Guaira,BR,2022-07-22 21:07:15,-20.3183,-48.3106,76.24,32,50,4.41
99,Jojoima,SL,2022-07-22 21:07:15,7.8792,-10.7878,71.47,98,93,3.83
100,Seoul,KR,2022-07-22 21:07:16,37.5683,126.9778,72.84,85,100,1.7
101,San Patricio,US,2022-07-22 21:07:16,28.017,-97.5169,98.17,43,3,16.8
102,Pericos,MX,2022-07-22 21:07:16,25.05,-107.7,96.85,43,85,11.45
103,Balkanabat,TM,2022-07-22 21:07:17,39.5108,54.3671,79.36,64,0,8.84
104,Kaitangata,NZ,2022-07-22 21:07:17,-46.2817,169.8464,36.66,92,14,3.62
105,Chunskiy,RU,2022-07-22 21:07:18,56.0815,99.6342,58.86,96,100,2.17
106,Port-Gentil,GA,2022-07-22 21:07:18,-0.7193,8.7815,75.16,78,20,12.66
107,Stykkisholmur,IS,2022-07-22 21:07:18,65.0757,-22.7297,55.06,76,53,2.8
108,Skibbereen,IE,2022-07-22 21:07:19,51.55,-9.2667,61.11,96,100,9.08
109,Fortuna,US,2022-07-22 21:07:19,40.5982,-124.1573,71.92,68,8,1.99
110,Dingle,PH,2022-07-22 21:07:19,10.9995,122.6711,76.08,92,83,4.23
111,Soritor,PE,2022-07-22 21:07:20,-6.1392,-77.1039,80.19,61,41,3.49
112,Severo-Kurilsk,RU,2022-07-22 21:07:20,50.6789,156.125,55.08,94,31,6.29
113,Kapaa,US,2022-07-22 21:04:09,22.0752,-159.319,82.72,71,75,16.11
114,Nhulunbuy,AU,2022-07-22 21:07:21,-12.2333,136.7667,59.61,94,93,3.44
115,Carnarvon,AU,2022-07-22 21:06:15,-24.8667,113.6333,62.44,66,0,11.14
116,Tezu,IN,2022-07-22 21:07:21,27.9167,96.1667,76.26,82,94,2.73
117,Conway,US,2022-07-22 21:07:21,35.0887,-92.4421,103.01,32,0,12.66
118,Lata,PT,2022-07-22 21:07:22,40.1629,-8.3327,60.67,85,7,2.77
119,Yerbogachen,RU,2022-07-22 21:07:22,61.2767,108.0108,61.45,73,100,4.94
120,Arraial Do Cabo,BR,2022-07-22 21:07:22,-22.9661,-42.0278,71.46,88,0,11.5
